Time,Energy
22420,13639.55
22421,16083.8
22422,18093.64
22423,19400.25
22424,19980.6
22425,19863.51
22426,19976.78
22427,20356.05
22428,20354.38
22429,20120.78
22430,20384.79
22431,20566.65
22432,20617.28
22433,20408.9
22434,20545.46
22435,20282.31
22436,19729.76
22437,18284.2
22438,16882.73
22439,15723.73
22440,15149.04
22441,14643.23
22442,14496.03
22443,14445.8
22444,14777.59
22445,16799.45
22446,18610.63
22447,19777.81
22448,19882.18
22449,19552.65
22450,20275.96
22451,20691.03
22452,20977.88
22453,20716.0
22454,20647.3
22455,20515.39
22456,20345.55
22457,20115.84
22458,20009.31
22459,19894.28
22460,19398.35
22461,17976.9
22462,16518.09
22463,15441.41
22464,14760.09
22465,14404.75
22466,14522.56
22467,14469.78
22468,14709.89
22469,16963.91
22470,18754.03
22471,19757.41
22472,20085.93
22473,20177.33
22474,20606.83
22475,20743.1
22476,20634.14
22477,20363.8
22478,20170.55
22479,19837.94
22480,19534.66
22481,19316.04
22482,19453.83
22483,19392.4
22484,18987.19
22485,17513.55
22486,16075.0
22487,14929.7
22488,14358.26
22489,14046.21
22490,14058.81
22491,14024.5
22492,14391.28
22493,16406.34
22494,18216.36
22495,19119.53
22496,19318.79
22497,18895.86
22498,19052.15
22499,19336.69
22500,19167.59
22501,19134.36
22502,19408.68
22503,19398.13
22504,19059.95
22505,19090.6
22506,19454.01
22507,19561.39
22508,19174.99
22509,17673.58
22510,16308.98
22511,15288.26
22512,14598.18
22513,14358.38
22514,14188.63
22515,14313.31
22516,14718.48
22517,16894.06
22518,18450.24
22519,19490.39
22520,20220.15
22521,20167.94
22522,20490.39
22523,20223.31
22524,19772.09
22525,19455.93
22526,19358.64
22527,19240.45
22528,19451.76
22529,19309.5
22530,19402.23
22531,19473.14
22532,19073.44
22533,17748.54
22534,16375.26
22535,15356.84
22536,14713.26
22537,14334.19
22538,14147.31
22539,13908.15
22540,13650.24
22541,14411.23
22542,15583.0
22543,16742.58
22544,17352.11
22545,17333.46
22546,17483.64
22547,17413.95
22548,17224.58
22549,17070.1
22550,17057.83
22551,16991.53
22552,17237.9
22553,17358.5
22554,17345.44
22555,17301.48
22556,17123.53
22557,16168.65
22558,14727.88
22559,13695.18
22560,13078.79
22561,12737.33
22562,12622.55
22563,12450.78
22564,12061.25
